문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q024,N03,2,개념,학습,24의 약수의 개수는?,8개,24=2³·3 → (3+1)(1+1)=8,4개,N03,몇 개 빠뜨린 듯. 1 2 3 4 6 8 12 24 모두 셈,6개,N03,2개 빠뜨림. 위 8개 다시 확인,12개,N03,약수가 너무 많이 셈. 24를 넘을 수 없어요,10개,N03,5나 7도 약수라 생각한 듯. 24÷5는 안 떨어짐,
Q119,N03,2,개념,학습,18과 24의 최대공약수와 최소공배수는?,최대공약수 6 최소공배수 72,18=2·3² 24=2³·3 → 공통 2·3=6 모두 2³·3²=72,최대공약수 6 최소공배수 36,N03,최소공배수 잘못. 36은 18·2,최대공약수 2 최소공배수 72,N03,최대공약수 잘못. 6 까지 가능,최대공약수 12 최소공배수 24,N03,거꾸로,최대공약수 6 최소공배수 12,N03,최소공배수 잘못. 12는 18의 배수가 아님,
Q956,N03,2,계산,학습,36의 약수 중 4의 배수인 것의 개수는?,3개,"36의 약수: 1,2,3,4,6,9,12,18,36. 이 중 4의 배수: 4, 12, 36. 모두 3개이다.",2개,N03,36이 4의 배수임을 인식하지 못하고 4와 12만 포함함.,4개,N03,8을 36의 약수로 잘못 포함하여 4개로 오인함.,9개,N03,4의 배수를 필터링하지 않고 36의 전체 약수 개수 9를 답함.,5개,N03,"8, 24를 36의 약수로 잘못 포함하여 5개로 오인함.",
Q959,N03,2,계산,학습,72의 약수의 개수는?,12개,72 = 2³ × 3². 약수의 개수 = (3+1) × (2+1) = 4 × 3 = 12개이다.,8개,N03,약수를 나열하다 18과 36을 빠뜨려 8개로 잘못 셈.,9개,N03,(3+1)+(2+1)=7로 더하여 9개로 잘못 계산함.,6개,N03,"72=8×9라는 사실만 보고 (8,9,1,72)=4개 또는 적게 셈.",16개,N03,2의 지수와 3의 지수를 더한 뒤 다른 계산을 거쳐 16으로 오산함.,
Q961,N03,2,응용,학습,3의 배수이면서 5의 배수인 수 중 100 이하의 자연수는 몇 개인가?,6개,"3과 5의 최소공배수는 15. 100 이하의 15의 배수: 15,30,45,60,75,90으로 6개이다.",33개,N03,3의 배수 개수(100÷3=33…)만 구하여 답함.,20개,N03,5의 배수 개수(100÷5=20)만 구하여 답함.,53개,N03,3의 배수 33개와 5의 배수 20개를 단순히 합산함.,7개,N03,100÷15=6.67을 올림하여 7개로 잘못 셈.,
Q963,N03,2,응용,학습,"가로 120 cm, 세로 80 cm인 직사각형 종이를 남김없이 잘라 정사각형을 만들려 한다. 한 변의 최대 길이는?",40 cm,"최대공약수(120, 80) = 40. 정사각형의 한 변의 최대 길이는 40 cm이다.",10 cm,N03,최대 길이가 아닌 최소 공약수를 구하거나 계산 오류를 범함.,80 cm,N03,최대공약수 대신 두 변 중 짧은 쪽 80 cm를 답함.,240 cm,N03,"최대공약수 대신 최소공배수 LCM(120,80)=240을 구함.",20 cm,N03,GCD 계산 오류로 최대공약수를 20으로 잘못 구함.,
Q1749,N03,2,계산,학습,"두 자연수의 최대공약수가 8이고 최소공배수가 96일 때, 두 수의 곱은?",768,두 수의 곱=최대공약수×최소공배수=8×96=768입니다.,96,N03,최소공배수 96을 그대로 답으로 쓴 오류입니다.,104,N03,곱 대신 최대공약수+최소공배수=8+96=104로 계산한 실수입니다.,384,N03,두 수의 곱이 최대공약수×최소공배수의 절반이라고 잘못 알아 384를 고른 오류입니다.,12,N03,96÷8=12만 계산하여 두 수 중 하나를 답으로 쓴 경우입니다.,
Q1750,N03,2,응용,학습,"두 수 12와 a의 최대공약수가 4이고 최소공배수가 60일 때, a는?",20,"GCD×LCM=12×a이므로 4×60=240=12×a, a=20입니다.",15,N03,잘못된 비율로 계산하여 60÷4=15를 답으로 쓴 경우입니다.,12,N03,a=12로 두 수가 같다고 잘못 가정한 실수입니다.,5,N03,60÷12=5로만 계산하여 LCM-GCD 관계를 무시한 오류입니다.,60,N03,최소공배수를 그대로 a로 쓴 오류입니다.,
Q1751,N03,2,계산,학습,"세 수 4, 6, 9의 최소공배수는?",36,"4=2², 6=2×3, 9=3²이므로 LCM=2²×3²=36입니다.",18,N03,"4를 빠뜨리고 LCM(6,9)=18만 구한 오류입니다.",12,N03,"LCM(4,6)=12만 계산하고 9를 반영하지 않은 실수입니다.",216,N01,4×6×9=216으로 단순 곱한 실수입니다.,2,N03,최소공배수 대신 최대공약수를 구한 오류입니다.,
Q1752,N03,2,계산,학습,100 이하의 자연수 중 8의 배수이면서 12의 배수인 것은 몇 개인가?,4,"LCM(8,12)=24이므로 24, 48, 72, 96의 4개입니다.",8,N03,8의 배수 개수 12개가 아니라 이를 잘못 셈한 경우입니다.,3,N03,"96을 포함하지 않아 24, 48, 72의 3개로 계산한 실수입니다.",6,N03,LCM을 잘못 구하거나 범위 계산 실수로 6을 고른 오류입니다.,12,N03,12의 배수 개수를 그대로 쓴 오류입니다.,
